                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.083356,               0.015622,              0.0079144,              0.0028413,                0.77534,                0.53823,                0.61542,                 0.4149,                0.78177,                 0.5474,                0.50403,                0.37339,               0.066604,              0.0061139,              0.0044464,              0.0008459,                 0.0748,                 0.0028,                 0.0028
                      1,               0.070505,               0.012716,               0.006895,              0.0022052,                0.91822,                0.52905,                0.66829,                0.51458,                0.91822,                0.52905,                0.61819,                0.46821,               0.060265,              0.0057423,               0.003907,             0.00081836,               0.048683,              0.0056829,              0.0056829
                      2,               0.060152,               0.012339,              0.0071686,              0.0015892,                0.92867,                0.49963,                  0.584,                0.35934,                0.92422,                0.49657,                 0.5875,                0.31357,               0.056479,              0.0091902,              0.0057854,             0.00075411,               0.022548,              0.0085484,              0.0085484
                      3,               0.056026,               0.013795,              0.0069519,              0.0011972,                0.97634,                0.58516,                  0.727,                0.52177,                0.97634,                0.58516,                0.72211,                0.52041,               0.037039,               0.014163,               0.004809,              0.0008334,                0.00991,                0.00991,                0.00991
                      4,               0.045544,               0.014396,              0.0074641,              0.0015097,                0.75091,                0.99694,                0.96596,                0.43579,                0.75263,                      1,                0.97039,                0.46832,               0.037501,              0.0086174,               0.004934,               0.001037,                0.00991,                0.00991,                0.00991
                      5,               0.047849,               0.014714,              0.0062114,              0.0017857,                0.76018,                0.96376,                0.96564,                0.62877,                0.64699,                0.85877,                0.81159,                0.54172,                0.03392,              0.0059176,              0.0047879,              0.0011369,                0.00988,                0.00988,                0.00988
                      6,               0.040717,               0.012631,                0.00538,              0.0017328,                 0.8304,                0.97554,                0.96394,                 0.6244,                0.67614,                0.81109,                0.77455,                0.48191,               0.029624,              0.0066921,              0.0049605,              0.0010987,                0.00985,                0.00985,                0.00985
                      7,               0.041372,               0.012975,              0.0054809,              0.0015535,                0.90858,                0.96636,                0.96673,                0.65287,                0.69472,                0.73496,                0.69721,                0.46086,               0.026704,               0.012642,              0.0051172,              0.0012084,                0.00982,                0.00982,                0.00982
                      8,               0.039136,               0.013869,              0.0057914,              0.0013473,                0.91366,                0.94495,                0.95393,                0.58661,                0.84595,                0.86197,                0.88426,                0.51873,               0.031929,               0.011949,              0.0050113,              0.0011107,                0.00979,                0.00979,                0.00979
                      9,               0.040006,                0.01403,              0.0059181,              0.0012524,                0.88407,                0.71817,                0.82053,                0.43836,                0.88684,                0.72123,                  0.809,                0.43195,               0.036145,               0.009503,              0.0052962,             0.00091465,                0.00976,                0.00976,                0.00976
                     10,                 0.0428,               0.014011,              0.0057351,              0.0011984,                0.89131,                0.89187,                0.93604,                0.54589,                0.89266,                 0.8976,                0.94695,                0.54501,               0.028286,              0.0078428,              0.0057029,             0.00089793,                0.00973,                0.00973,                0.00973
                     11,               0.037703,               0.014865,              0.0058865,              0.0012864,                 0.8868,                0.31063,                0.39694,                0.17329,                0.88651,                0.31104,                0.40449,                0.22852,               0.038618,              0.0096071,              0.0089946,              0.0015175,                 0.0097,                 0.0097,                 0.0097
                     12,               0.040393,               0.014805,               0.006222,              0.0014869,                0.82749,                0.93134,                0.91535,                0.59517,                0.82919,                0.93439,                0.92157,                0.60115,               0.026225,               0.006171,              0.0054762,             0.00086593,                0.00967,                0.00967,                0.00967
                     13,               0.038449,               0.014215,              0.0046946,              0.0014316,                0.90178,                0.58716,                 0.7179,                0.42351,                0.90261,                0.58716,                0.72642,                0.39707,               0.036907,              0.0093818,              0.0054114,              0.0010372,                0.00964,                0.00964,                0.00964
                     14,               0.037515,               0.015445,              0.0054529,              0.0012076,                0.80665,                0.88351,                 0.9297,                0.55041,                0.85618,                0.71537,                0.84903,                0.44975,               0.028156,              0.0074048,              0.0046775,              0.0007125,                0.00961,                0.00961,                0.00961
